Period,Team,Start Time,End Time,From,To,Start X,Start Y,End X,End Y,progression,angle,distance_goal,nearest_opponent,count_2m,count_6m,speed,eliminated,danger_score
1,Away,0.04,0.12,Player19,Player21,0.45,0.39,0.55,0.43,-0.09118725814914569,-0.8137171621207521,0.5544366510251645,0.003625051723768891,1.0,2.0,1.3462912017836266,0.0,0.2633393125083153
1,Away,0.12,0.68,Player21,Player15,0.55,0.43,0.58,0.21,-0.09402306244977454,-0.259126461163578,0.648459713474939,0.1295870927214589,0.0,0.0,0.39649291627097344,0.0,0.2684557795328255
1,Away,1.8,2.44,Player15,Player19,0.55,0.19,0.45,0.31,0.14288077503379143,0.9348952581013227,0.4884669896727925,0.04585979720844829,0.0,1.0,0.24407030237208302,2.0,0.7184177859960597
1,Away,3.08,3.84,Player19,Player21,0.45,0.32,0.49,0.47,-0.006252675703237731,0.11961529279977637,0.4909175083453431,0.06998802254671865,0.0,0.0,0.20426545652973713,0.0,0.44407009770816525
1,Away,7.64,8.68,Player21,Player22,0.4,0.73,0.32,0.98,-0.11547732427186508,-0.21054219821180958,0.5768882040742382,0.10042976700162162,0.0,0.0,0.2523923990078209,2.0,0.3532849727281617
1,Away,11.16,12.12,Player22,Player17,0.39,0.96,0.49,0.98,-0.0828545742531166,-0.783703265977569,0.6859300255857007,0.11644800599409158,0.0,0.0,0.10622957319984977,0.0,0.182638901044161
1,Home,19.92,21.44,Player2,Player9,0.36,0.67,0.53,0.59,0.18365388068551625,0.9837976381240051,0.4785394445602159,0.022130822397732938,0.0,4.0,0.12360719886878914,5.0,0.8422640786461748
1,Home,21.44,22.24,Player9,Player10,0.53,0.59,0.5,0.65,-0.043475880885311624,-0.6074311853072658,0.5220153254455275,0.034752358193365855,0.0,2.0,0.08385254915624249,0.0,0.3218198697298499
1,Away,30.52,31.36,Player16,Player19,0.58,0.27,0.51,0.33,0.08635189736363547,0.945670159826971,0.5375872022286244,0.018630067095960802,1.0,1.0,0.10975648163443912,2.0,0.6562624405934614
1,Away,31.36,32.16,Player19,Player20,0.51,0.33,0.57,0.47,-0.033201725484588995,-0.08304446566734262,0.5707889277132134,0.06611690630995974,0.0,0.0,0.19039432764659833,0.0,0.3817609153129467
1,Away,33.36,35.24,Player20,Player22,0.53,0.53,0.44,0.92,-0.07742787543034191,0.16943327540631167,0.6082762530298219,0.22229284761323295,0.0,0.0,0.21289889464031353,1.0,0.31787270510623117
1,Away,39.04,40.4,Player22,Player17,0.36,0.96,0.48,0.86,-0.015876725339590725,0.03068695858405025,0.6,0.13362791699341867,0.0,0.0,0.11485661288098026,0.0,0.35575798480300924
1,Home,45.36,46.16,Player5,Player6,0.32,0.89,0.31,0.78,0.03925293624538184,0.4169282541602158,0.7446475676452585,0.05154673316515804,0.0,1.0,0.13806701271484123,0.0,0.46465450362767224
1,Home,46.16,47.08,Player6,Player10,0.31,0.78,0.41,0.74,0.10770173007349126,0.9999750941361388,0.6369458375717673,0.07672588676581062,0.0,0.0,0.11706880015509769,2.0,0.6543127680340218
1,Home,49.04,50.64,Player10,Player8,0.46,0.68,0.56,0.34,0.10102198240152338,0.5710616573562987,0.46818799642878495,0.04799433820775116,0.0,1.0,0.2215005643333667,1.0,0.615451364920782
